shelter_address,longitude,latitude
21 McGill St M5B 1H3 Toronto ON CA,-79.3813843,43.6599801
89 Church Ave. M2N 6C9 Toronto ON CA,-79.4086201,43.774732
189B Booth Ave M4M 2M5 Toronto ON CA,-79.3429848,43.6600165
351 Lake Shore Blvd E M5A 1C1 Toronto ON CA,-79.35934739999999,43.6478428
490 Sherbourne St M4X 1K9 Toronto ON CA,-79.3752523,43.6676381
92 Peter St M5V 2G5 Toronto ON CA,-79.3932324,43.64696989999999
4584 Kingston Rd M1E 2P4 Scarborough ON CA,-79.1839284,43.7746327
126 Pape Ave M4M 2V8 Toronto ON CA,-79.33854560000002,43.66282229999999
25 Canterbury Pl M3N 0E3 Toronto ON CA,-79.4147563,43.7728149
556 Sherbourne St M4X 1L4 Toronto ON CA,-79.37612229999999,43.6700332
70 Denison Ave M5T 2M8 Toronto ON CA,-79.4017715,43.6502279
58 Cecil Street M5T 1N6   CA,-79.39859960000001,43.65646
3306 Kingston Rd M1M 1P8 Toronto ON CA,-79.2234829,43.7342249
135 Sherbourne St M5A 2R5 Toronto ON CA,-79.3690019,43.65529189999999
2808 Dundas St W M6P 1Y5 Toronto ON CA,-79.4631838,43.665635
1229 Ellesmere Rd M1P 4V8 Toronto ON CA,-79.2674466,43.76828219999999
185 Yorkland Blvd M2J 4R2 North York ON CA,-79.335442,43.771263
325 Gerrard St E M5A 2G6 Toronto ON CA,-79.365389,43.661921
1059 College Street M6H 1B1 Toronto ON CA,-79.4308073,43.652684
422 Gilbert Ave M6E 4X3 Toronto ON CA,-79.46237699999999,43.6893746
512 Jarvis St M4Y 2H6 Toronto ON CA,-79.37931329999999,43.6676283
850 Bloor St W M6G 1M2 Toronto ON CA,-79.4242007,43.6624214
1677 Wilson Ave M3L 1A5 North York ON CA,-79.5145757,43.718533
22 Metropolitan Rd M1R 2T5 Toronto ON CA,-79.30207899999999,43.767469
348 Davenport Road M5R 1K6 Toronto ON CA,-79.4013331,43.6754118
1A Strachan Ave M6K 3C3 Toronto ON CA,-79.408818,43.6354622
502 Spadina Ave M5S 2H1 Toronto ON CA,-79.4007969,43.6586509
222 Spadina Ave M5T 3B3 Toronto ON CA,-79.39776239999999,43.6507675
257 Dundas St E M5A 1Z8 Toronto ON CA,-79.37209659999999,43.6580221
    CA,-119.4179324,36.778261
6 Warrendale Ct M9V 1P9 Etobicoke ON CA,-79.58040369999999,43.7363097
77 Ryerson Ave M5T 2V4 Toronto ON CA,-79.4025312,43.6500729
21 Walmer Rd M5R 2W7 Toronto ON CA,-79.4054907,43.6679227
20 Milner Business Ct M1B 3M6 Scarborough ON CA,-79.2356389,43.7878795
702 Kennedy Rd M1K 2B5 Toronto ON CA,-79.26765759999999,43.7279534
4117 Lawrence Ave E M1E 2S2 Scarborough ON CA,-79.1935325,43.7662585
14 Vaughan Rd M6G 2N1 Toronto ON CA,-79.4183468,43.681428
100 Lippincott St M5S 2P1 Toronto ON CA,-79.40705609999999,43.6576786
38 Bathurst St M5V 3W3 Toronto ON CA,-79.4027393,43.6411174
45 The Esplanade M5E 1W2 Toronto ON CA,-79.3745725,43.6465136
274 Sackville St M5A 3S7 Toronto ON CA,-79.36390569999999,43.661776
445 Rexdale Blvd M9W 6P8 Etobicoke ON CA,-79.59378079999999,43.7160751
65 Dundas St E M5B 2G8 Toronto ON CA,-79.37840949999999,43.656092
60 Brant St M5V 3G9 Toronto ON CA,-79.3987294,43.6473312
5515 Eglinton Ave West M9C5K5 Toronto ON CA,-79.6009981,43.652283
60 Newcastle St M8Y 1A3 Toronto ON CA,-79.497208,43.6182521
195 Princes' Blvd M6K 3C3 Toronto ON CA,-79.42069479999999,43.6316671
220 Cowan Ave M6K 2N6 Toronto ON CA,-79.4330559,43.6407414
705 Progress Ave M1H 2X1 Toronto ON CA,-79.24722299999999,43.777729
67 Adelaide St E M5C 1K6 Toronto ON CA,-79.37510879999999,43.6509084
25 Augusta Ave M5T 2K7 Toronto ON CA,-79.3996779,43.64897089999999
14 Roncesvalles Ave M6R 2K3 Toronto ON CA,-79.4465075,43.6391128
50 Estate Dr M1H 2Z1 Scarborough ON CA,-79.2356491,43.7831074
545 Lake Shore Blvd W M5V 1A3 Toronto ON CA,-79.3987569,43.6364449
291 Sherbourne St M5A 2R9 Toronto ON CA,-79.3714147,43.66057139999999
101 Ontario St M5A 2V2 Toronto ON CA,-79.3665735,43.6545597
5800 Yonge St M2M 3T3 North York ON CA,-79.4168224,43.7842276
60 York Street M5J 1S8 Toronto ON CA,-79.3831526,43.646293
640 Dixon Rd. M9W 1J1 Toronto ON CA,-79.576591,43.6921903
354 George St M5A 2N3 Scarborough ON CA,-79.3745325,43.6594145
386 Dundas St E M5A 2A5 Toronto ON CA,-79.3681586,43.65911819999999
43 Christie St M6G 3B1 Toronto ON CA,-79.4188573,43.665203
107 Jarvis St M5C 2H4 Toronto ON CA,-79.3722725,43.6523669
66 Norfinch Dr M3N 1X1 North York ON CA,-79.52917699999999,43.7572275
973 Lansdowne Ave M6H 3Z5 Toronto ON CA,-79.4460191,43.6661036
808 Mt Pleasant Rd M4P 2L2 Toronto ON CA,-79.39072449999999,43.7088621
63 Bellwoods Ave M6J 3M4 Toronto ON CA,-79.4113564,43.64800109999999
76 Church St M5C 2G1 Toronto ON CA,-79.3751353,43.6506756
136 Spadina Rd M5R 2T8 Toronto ON CA,-79.4066679,43.6731171
55 Hallcrown Pl M2J 4R1 North York ON CA,-79.3221634,43.7692973
3600 Steeles Ave W L4L 8P5 Vaughan ON CA,-79.538326,43.772108
346 Spadina Ave. M5T 1J5 Toronto ON CA,-79.3989362,43.6541824
1651 Sheppard Ave W M3M 2X4 Toronto ON CA,-79.49416029999999,43.74063719999999
15 Olive Ave M2N 4N4 Toronto ON CA,-79.41420939999999,43.7784201
69 Fraser Ave M6K 1E9 Toronto ON CA,-79.423853,43.6378666
970 Dixon Rd M9W 1 J Toronto ON CA,-79.59987459999999,43.686912
885 Scarborough Golf Club Road M1G 1J6 Toronto ON CA,-79.21923629999999,43.77281
674 Dundas St W M5H 1H9 Toronto ON CA,-79.40368409999999,43.65197209999999
962 Bloor St W M6H 1L6 Toronto ON CA,-79.4288981,43.6615816
191 Spadina Rd M5R 2T9 Toronto ON CA,-79.4063139,43.6736075
335 Jarvis St M5B 2C2 Toronto ON CA,-79.3753751,43.6604029
349 George St M5A 2N2 Toronto ON CA,-79.37430669999999,43.6601215
20 Gerrard St E M5B 2P3 Toronto ON CA,-79.3814705,43.65934559999999
21 Park Rd M4W 2N1 Toronto ON CA,-79.3844397,43.6720826
60 York St M5J 1S8 Toronto ON CA,-79.3831526,43.646293
295 Sackville St M5A 3G1 Toronto ON CA,-79.3632732,43.6618512
25 Mendelssohn St M1L 0G8 Scarborough ON CA,-79.28057299999999,43.7146728
558 Bathurst St M5S 2P9 Toronto ON CA,-79.40883029999999,43.6584807
1161 Caledonia Rd M6A 2W9 Toronto ON CA,-79.4666149,43.7156521
5800 Yonge St  M2M 3T3 North York ON CA,-79.4168224,43.7842276
3576 St Clair Ave E M1K 1M2 Toronto ON CA,-79.2581094,43.717528
35 Sydenham St M5A 4H5 Toronto ON CA,-79.3624674,43.6567211
87 Pembroke St M5A 2N9 Toronto ON CA,-79.37235129999999,43.65921900000001
355 Gerrard St E M5A 2G5 Toronto ON CA,-79.3645073,43.6621659
30 Norfinch Dr M3N 1X1 North York ON CA,-79.5271739,43.756319
101 Placer Ct M2H 3H9 Toronto ON CA,-79.341403,43.8020246
525 Bloor St E M4W 1J1 Toronto ON CA,-79.373702,43.6717544
111 Spadina Rd M5R 2T1 Toronto ON CA,-79.4053326,43.67119
747 Warden Ave M1L 4A1 Scarborough ON CA,-79.2828583,43.71785269999999
4674 Kingston Rd M1E 2P9 Toronto ON CA,-79.1736301,43.7771153
70 Gerrard St E M5B 1G6 Toronto ON CA,-79.37831249999999,43.6600489
158 Madison Ave. M5R 2S5 Toronto ON CA,-79.40578839999999,43.6739614
98 The Esplanade M5E 1A9 Toronto ON CA,-79.3724946,43.6478467
805A Wellington St W M5V 1G8 Toronto ON CA,-79.4101805,43.6409036
1677 Wilson Ave M3L 1A5 North York  ON CA,-79.5145757,43.718533
4540 Kingston Rd M1E 2N8 Toronto ON CA,-79.1858602,43.7722894
55 John St M5V 3C6 Toronto ON CA,-79.388966,43.6460888
616 Vaughan Rd M6C 2R5 Toronto ON CA,-79.4398908,43.6918507
3410 Bayview Ave M2M 3S3 Toronto ON CA,-79.3954669,43.7979694
129 Peter St M5V 2H3 Toronto ON CA,-79.3931334,43.6487063
1684 Queen St E M4L 1G6 Toronto ON CA,-79.3135118,43.6673724
56 Yonge St M5E 1G5 Toronto ON CA,-79.37809229999999,43.6480319
80 Woodlawn Ave E M4T 1C1 Toronto ON CA,-79.3898478,43.6846902
2685 Kingston Rd M1M 1M4 Scarborough ON CA,-79.2404074,43.7179321
412 Queen St E M5A 1T3 Toronto ON CA,-79.36250249999999,43.6562539
1076 Pape Ave M4K 3W5 Toronto ON CA,-79.34966279999999,43.6909102
360 Lesmill Rd M3B 2T5 Toronto ON CA,-79.3609489,43.7633532
12 Holmes Ave M2N 4N4 Toronto ON CA,-79.41425,43.77829
731 Runnymede Rd M6N 3V7 Toronto ON CA,-79.4827373,43.66840089999999
2714 Danforth Ave M4C 1L7 Toronto ON CA,-79.29827139999999,43.6891847
165 Grange Ave M5T 2V5 Toronto ON CA,-79.4013362,43.6509088
29A Leslie St M4M 3C3 Toronto ON CA,-79.3293515,43.66190400000001
339 George St M5A 2N2 Toronto ON CA,-79.3739208,43.6595825
2035 Kennedy Rd M1T 3G2 Scarborough ON CA,-79.2829241,43.7769564
7 Vanauley St M5T 2V9 Toronto ON CA,-79.3982647,43.6488502
354 George St M5A 2N3 Toronto ON CA,-79.3745325,43.6594145
26 Gerrard St E M5B 1G3 Toronto ON CA,-79.3810178,43.6594865
2671 Islington Ave M9V 2X6 Toronto ON CA,-79.5658217,43.7393109
26 Vaughan Rd M6G 2C4 Toronto ON CA,-79.4188119,43.6818271
150 Borough Dr M1P 4N7 Toronto ON CA,-79.2576797,43.7728978
75 Elizabeth Street M5G 1P4 Toronto ON CA,-79.3845408,43.6542083
4222 Kingston Rd M1E 2M6 Toronto ON CA,-79.1968644,43.7609599
95 Wellesley St E M4Y 2X9 Toronto ON CA,-79.3792474,43.6658254
